P (mbar)	T (K)	logP(mbar)	T (experiment)	P(experiment)																											
mbar	K		K	mbar																											
1.14287833478977	1.25672550198699	0.058			1.25672550198699																										
1.14551294144554	1.25700254977055	0.059			1.25700254977055																										
1.14815362149688	1.2572802126562	0.06			1.2572802126562																										
1.15080038894444	1.25755848893769	0.061			1.25755848893769																										
1.15345325782109	1.25783737691338	0.062			1.25783737691338																										
1.1561122421921	1.25811687488623	0.063			1.25811687488623																										
1.15877735615513	1.25839698116377	0.064			1.25839698116377																										
1.16144861384034	1.25867769405814	0.065			1.25867769405814																										
1.16412602941049	1.25895901188603	0.066			1.25895901188603																										
1.16680961706096	1.25924093296874	0.067			1.25924093296874																										
1.16949939101987	1.2595234556321	0.068			1.2595234556321																										
1.17219536554813	1.25980657820652	0.069			1.25980657820652																										
1.17489755493953	1.26009029902696	0.07			1.26009029902696																										
1.17760597352081	1.26037461643294	0.071			1.26037461643294																										
1.18032063565173	1.26065952876849	0.072			1.26065952876849																										
1.18304155572516	1.26094503438221	0.073			1.26094503438221																										
1.18576874816716	1.26123113162722	0.074			1.26123113162722																										
1.18850222743702	1.26151781886115	0.075			1.26151781886115																										
1.19124200802737	1.26180509444617	0.076			1.26180509444617																										
1.19398810446427	1.26209295674894	0.077			1.26209295674894																										
1.19674053130724	1.26238140414064	0.078			1.26238140414064																										
1.19949930314938	1.26267043499695	0.079			1.26267043499695																										
1.20226443461741	1.26296004769804	0.08			1.26296004769804																										
1.2050359403718	1.26325024062857	0.081			1.26325024062857																										
1.20781383510678	1.26354101217766	0.082			1.26354101217766																										
1.21059813355048	1.26383236073895	0.083			1.26383236073895																										
1.21338885046498	1.26412428471051	0.084			1.26412428471051																										
1.21618600064637	1.26441678249489	0.085			1.26441678249489																										
1.21898959892487	1.26470985249909	0.086			1.26470985249909																										
1.22179966016487	1.26500349313458	0.087			1.26500349313458																										
1.22461619926505	1.26529770281725	0.088			1.26529770281725																										
1.22743923115841	1.26559247996745	0.089			1.26559247996745																										
1.23026877081238	1.26588782300995	0.09			1.26588782300995																										
1.23310483322891	1.26618373037395	0.091			1.26618373037395																										
1.23594743344451	1.26648020049309	0.092			1.26648020049309																										
1.23879658653037	1.26677723180539	0.093			1.26677723180539																										
1.24165230759241	1.2670748227533	0.094			1.2670748227533																										
1.24451461177139	1.26737297178369	0.095			1.26737297178369																										
1.24738351424294	1.2676716773478	0.096			1.2676716773478																										
1.25025903021772	1.26797093790127	0.097			1.26797093790127																										
1.25314117494142	1.26827075190412	0.098			1.26827075190412																										
1.25602996369487	1.26857111782077	0.099			1.26857111782077																										
1.25892541179417	1.26887203412	0.1			1.26887203412																										
1.26182753459067	1.26917349927495	0.101			1.26917349927495																										
1.26473634747115	1.26947551176313	0.102			1.26947551176313																										
1.26765186585785	1.26977807006642	0.103			1.26977807006642																										
1.27057410520854	1.27008117267101	0.104			1.27008117267101																										
1.27350308101666	1.27038481806748	0.105			1.27038481806748																										
1.27643880881134	1.27068900475072	0.106			1.27068900475072																										
1.27938130415752	1.27099373121996	0.107			1.27099373121996																										
1.28233058265602	1.27129899597875	0.108			1.27129899597875																										
1.28528665994362	1.27160479753498	0.109			1.27160479753498																										
1.28824955169313	1.27191113440082	0.11			1.27191113440082																										
1.29121927361353	1.27221800509278	0.111			1.27221800509278																										
1.29419584144999	1.27252540813166	0.112			1.27252540813166																										
1.29717927098396	1.27283334204255	0.113			1.27283334204255																										
1.30016957803329	1.27314180535485	0.114			1.27314180535485																										
1.3031667784523	1.27345079660221	0.115			1.27345079660221																										
1.30617088813184	1.2737603143226	0.116			1.2737603143226																										
1.30918192299941	1.27407035705824	0.117			1.27407035705824																										
1.3121998990192	1.27438092335561	0.118			1.27438092335561																										
1.31522483219224	1.27469201176547	0.119			1.27469201176547																										
1.31825673855641	1.27500362084282	0.12			1.27500362084282																										
1.32129563418658	1.27531574914693	0.121			1.27531574914693																										
1.32434153519466	1.27562839524128	0.122			1.27562839524128																										
1.32739445772974	1.27594155769362	0.123			1.27594155769362																										
1.33045441797809	1.27625523507591	0.124			1.27625523507591																										
1.33352143216332	1.27656942596436	0.125			1.27656942596436																										
1.33659551654644	1.27688412893936	0.126			1.27688412893936																										
1.33967668742594	1.27719934258555	0.127			1.27719934258555																										
1.34276496113786	1.27751506549177	0.128			1.27751506549177																										
1.34586035405595	1.27783129625106	0.129			1.27783129625106																										
1.34896288259165	1.27814803346064	0.13			1.27814803346064																										
1.35207256319428	1.27846527572196	0.131			1.27846527572196																										
1.35518941235104	1.2787830216406	0.132			1.2787830216406																										
1.35831344658715	1.27910126982638	0.133			1.27910126982638																										
1.36144468246595	1.27942001889324	0.134			1.27942001889324																										
1.36458313658892	1.27973926745933	0.135			1.27973926745933																										
1.36772882559585	1.28005901414692	0.136			1.28005901414692																										
1.37088176616485	1.28037925758248	0.137			1.28037925758248																										
1.37404197501252	1.28069999639659	0.138			1.28069999639659																										
1.37720946889395	1.281021229224	0.139			1.281021229224																										
1.38038426460288	1.28134295470358	0.14			1.28134295470358																										
1.38356637897178	1.28166517147836	0.141			1.28166517147836																										
1.38675582887189	1.28198787819546	0.142			1.28198787819546																										
1.38995263121335	1.28231107350615	0.143			1.28231107350615																										
1.3931568029453	1.28263475606581	0.144			1.28263475606581																										
1.39636836105594	1.28295892453391	0.145			1.28295892453391																										
1.39958732257262	1.28328357757405	0.146			1.28328357757405																										
1.40281370456196	1.28360871385391	0.147			1.28360871385391																										
1.40604752412991	1.28393433204526	0.148			1.28393433204526																										
1.40928879842187	1.28426043082398	0.149			1.28426043082398																										
1.41253754462275	1.28458700887	0.15			1.28458700887																										
1.41579377995708	1.28491406486735	0.151			1.28491406486735																										
1.41905752168909	1.2852415975041	0.152			1.2852415975041																										
1.42232878712282	1.28556960547242	0.153			1.28556960547242																										
1.42560759360219	1.28589808746852	0.154			1.28589808746852																										
1.4288939585111	1.28622704219264	0.155			1.28622704219264																										
1.43218789927354	1.28655646834909	0.156			1.28655646834909																										
1.43548943335366	1.28688636464623	0.157			1.28688636464623																										
1.43879857825585	1.28721672979644	0.158			1.28721672979644																										
1.44211535152487	1.28754756251611	0.159			1.28754756251611																										
1.44543977074593	1.28787886152569	0.16			1.28787886152569																										
1.44877185354476	1.28821062554962	0.161			1.28821062554962																										
1.45211161758774	1.28854285331636	0.162			1.28854285331636																										
1.45545908058197	1.28887554355839	0.163			1.28887554355839																										
1.45881426027535	1.28920869501216	0.164			1.28920869501216																										
1.46217717445672	1.28954230641815	0.165			1.28954230641815																										
1.46554784095591	1.28987637652079	0.166			1.28987637652079																										
1.46892627764387	1.29021090406852	0.167			1.29021090406852																										
1.47231250243272	1.29054588781375	0.168			1.29054588781375																										
1.47570653327589	1.29088132651287	0.169			1.29088132651287																										
1.47910838816821	1.29121721892622	0.17			1.29121721892622																										
1.48251808514595	1.29155356381811	0.171			1.29155356381811																										
1.48593564228701	1.29189035995681	0.172			1.29189035995681																										
1.48936107771092	1.29222760611451	0.173			1.29222760611451																										
1.492794409579	1.29256530106739	0.174			1.29256530106739																										
1.49623565609443	1.29290344359553	0.175			1.29290344359553																										
1.49968483550237	1.29324203248295	0.176			1.29324203248295																										
1.50314196609002	1.29358106651761	0.177			1.29358106651761																										
1.50660706618674	1.29392054449138	0.178			1.29392054449138																										
1.51008015416415	1.29426046520004	0.179			1.29426046520004																										
1.51356124843621	1.29460082744328	0.18			1.29460082744328																										
1.51705036745934	1.29494163002472	0.181			1.29494163002472																										
1.5205475297325	1.29528287175184	0.182			1.29528287175184																										
1.52405275379729	1.29562455143603	0.183			1.29562455143603																										
1.52756605823807	1.29596666789258	0.184			1.29596666789258																										
1.53108746168203	1.29630921994063	0.185			1.29630921994063																										
1.53461698279929	1.29665220640322	0.186			1.29665220640322																										
1.53815464030303	1.29699562610725	0.187			1.29699562610725																										
1.54170045294956	1.29733947788349	0.188			1.29733947788349																										
1.54525443953841	1.29768376056657	0.189			1.29768376056657																										
1.54881661891248	1.29802847299496	0.19			1.29802847299496																										
1.55238700995808	1.29837361401098	0.191			1.29837361401098																										
1.55596563160507	1.29871918246082	0.192			1.29871918246082																										
1.55955250282695	1.29906517719446	0.193			1.29906517719446																										
1.56314764264095	1.29941159706575	0.194			1.29941159706575																										
1.56675107010815	1.29975844093234	0.195			1.29975844093234																										
1.57036280433355	1.30010570765572	0.196			1.30010570765572																										
1.57398286446622	1.30045339610117	0.197			1.30045339610117																										
1.57761126969935	1.3008015051378	0.198			1.3008015051378																										
1.58124803927038	1.30115003363851	0.199			1.30115003363851																										
1.58489319246111	1.30149898048	0.2			1.30149898048																										
1.58854674859778	1.30184834454277	0.201			1.30184834454277																										
1.59220872705117	1.30219812471109	0.202			1.30219812471109																										
1.59587914723673	1.30254831987303	0.203			1.30254831987303																										
1.59955802861467	1.30289892892041	0.204			1.30289892892041																										
1.60324539069004	1.30324995074885	0.205			1.30324995074885																										
1.60694125301288	1.30360138425771	0.206			1.30360138425771																										
1.61064563517827	1.30395322835011	0.207			1.30395322835011																										
1.61435855682649	1.30430548193293	0.208			1.30430548193293																										
1.61808003764307	1.3046581439168	0.209			1.3046581439168																										
1.62181009735893	1.30501121321609	0.21			1.30501121321609																										
1.62554875575048	1.3053646887489	0.211			1.3053646887489																										
1.62929603263972	1.30571856943707	0.212			1.30571856943707																										
1.63305194789433	1.30607285420615	0.213			1.30607285420615																										
1.63681652142781	1.30642754198543	0.214			1.30642754198543																										
1.64058977319954	1.30678263170789	0.215			1.30678263170789																										
1.64437172321493	1.30713812231024	0.216			1.30713812231024																										
1.64816239152551	1.30749401273288	0.217			1.30749401273288																										
1.65196179822901	1.30785030191992	0.218			1.30785030191992																										
1.65576996346953	1.30820698881916	0.219			1.30820698881916																										
1.65958690743756	1.30856407238206	0.22			1.30856407238206																										
1.66341265037017	1.3089215515638	0.221			1.3089215515638																										
1.66724721255106	1.30927942532322	0.222			1.30927942532322																										
1.67109061431071	1.30963769262282	0.223			1.30963769262282																										
1.67494287602644	1.30999635242877	0.224			1.30999635242877																										
1.67880401812256	1.31035540371092	0.225			1.31035540371092																										
1.68267406107047	1.31071484544274	0.226			1.31071484544274																										
1.68655302538874	1.31107467660136	0.227			1.31107467660136																										
1.69044093164326	1.31143489616758	0.228			1.31143489616758																										
1.69433780044733	1.3117955031258	0.229			1.3117955031258																										
1.69824365246174	1.31215649646407	0.23			1.31215649646407																										
1.70215850839495	1.31251787517406	0.231			1.31251787517406																										
1.70608238900312	1.31287963825106	0.232			1.31287963825106																										
1.71001531509029	1.313241784694	0.233			1.313241784694																										
1.71395730750843	1.31360431350538	0.234			1.31360431350538																										
1.71790838715759	1.31396722369134	0.235			1.31396722369134																										
1.72186857498601	1.3143305142616	0.236			1.3143305142616																										
1.7258378919902	1.31469418422947	0.237			1.31469418422947																										
1.7298163592151	1.31505823261187	0.238			1.31505823261187																										
1.73380399775414	1.31542265842928	0.239			1.31542265842928																										
1.73780082874938	1.31578746070577	0.24			1.31578746070577																										
1.74180687339161	1.31615263846899	0.241			1.31615263846899																										
1.7458221529205	1.31651819075014	0.242			1.31651819075014																										
1.74984668862466	1.31688411658398	0.243			1.31688411658398																										
1.75388050184176	1.31725041500886	0.244			1.31725041500886																										
1.75792361395869	1.31761708506663	0.245			1.31761708506663																										
1.76197604641163	1.31798412580272	0.246			1.31798412580272																										
1.76603782068616	1.31835153626609	0.247			1.31835153626609																										
