Acquisition Time (ms)	Shunt Voltage (V)	Sample Voltage (V)	Integrated Sample Voltage (V)					
milliseconds	Volts	Volts	Volts					
7486000	1.012734	1.40085723E-5	-0.0102209606653	-0.0210639606653		6.220393347E-4	50	36.458424
7486250	1.0334771	1.61159316E-5	-0.0102118447337	-0.0210618447337		6.381552663E-4	51	37.2051756
7486500	1.0540005	1.82591608E-5	-0.0102005855729	-0.0210575855729		6.564144271E-4	52	37.944018
7486750	1.0743778	1.81470672E-5	-0.0101894385057	-0.0210534385057		6.745614943E-4	53	38.6776008
7487000	1.0946665	1.80663598E-5	-0.0101783721458	-0.0210493721458		6.926278542E-4	54	39.407994
7487250	1.1149017	1.43403693E-5	-0.0101710317765	-0.0210490317765		7.069682235E-4	55	40.1364612
7487500	1.1345417	1.58917444E-5	-0.0101621400321	-0.0210471400321		7.228599679E-4	56	40.8435012
7487750	1.1550759	1.77031767E-5	-0.0101514368554	-0.0210434368554		7.405631446E-4	57	41.5827324
7488000	1.1757396	1.60935129E-5	-0.0101423433426	-0.0210413433426		7.566566574E-4	58	42.3266256
7488250	1.1961859	1.69140379E-5	-0.0101324293047	-0.0210384293047		7.735706953E-4	59	43.0626924
7488500	1.2211546	2.59263615E-5	-0.0101135029432	-0.0210265029432		7.994970568E-4	60	43.9615656
7488751	1.2371489	2.28594812E-5	-0.0100976434619	-0.0210176434619		8.223565381E-4	61	44.5373604
7489000	1.2573366	2.77422775E-5	-0.0100769011844	-0.0210039011844		8.500988156E-4	62	45.2641176
7489250	1.2779003	4.06106203E-5	-0.0100432905641	-0.0209772905641		8.907094359E-4	63	46.0044108
7489500	1.2986378	3.82701064E-5	-0.0100120204577	-0.0209530204577		9.289795423E-4	64	46.7509608
7489750	1.3191913	3.43737336E-5	-0.0099846467241	-0.0209326467241		9.633532759E-4	65	47.4908868
7490000	1.3389415	1.59814193E-5	-0.0099756653049	-0.0209306653049		9.793346951E-4	66	48.201894
7490250	1.3592338	2.63612846E-5	-0.009956304	-0.020918304		0.001005696	67	48.9324168
7490500	1.3795075	4.96274277E-5	-0.0099136766	-0.0208826766		0.0010553234	68	49.66227
7490750	1.3998133	7.17412488E-5	-0.0098489353	-0.0208249353		0.0011270647	69	50.3932788
7491000	1.420365	6.25495754E-5	-0.0097933858	-0.0207763858		0.0011896142	70	51.13314
