Acquisition Time (ms)	Shunt Voltage (V)	Sample Voltage (V)	Integrated Sample Voltage (V)						
milliseconds	Volts	Volts	Volts						
5040750	1.170821	6.7897459E-6	-1.392276645E-4	-6.808276645E-4				57	42.149556
5041000	1.1907637	6.3458553E-6	-1.389818092E-4	-6.866818092E-4				58	42.8674932
5041250	1.216027	7.0363518E-6	-1.380454574E-4	-6.918454574E-4				59	43.776972
5041500	1.2321154	6.6731686E-6	-1.374722888E-4	-6.973722888E-4				60	44.3561544
5041750	1.2528408	7.2560552E-6	-1.363162337E-4	-7.023162337E-4				61	45.1022688
5042000	1.2738545	7.556466E-6	-1.348597677E-4	-7.069597677E-4				62	45.858762
5042250	1.2942124	7.3950512E-6	-1.335647165E-4	-7.117647165E-4				63	46.5916464
5042500	1.3148429	6.8794207E-6	-1.327852958E-4	-7.170852958E-4				64	47.3343444
5042750	1.3354815	6.9242582E-6	-1.319610376E-4	-7.223610376E-4				65	48.077334
5043000	1.3561918	6.7135222E-6	-1.313475153E-4	-7.278475153E-4				66	48.8229048
5043250	1.3767519	6.9915143E-6	-1.30456001E-4	-7.33056001E-4				67	49.5630684
5043500	1.3974676	7.2291527E-6	-1.293268483E-4	-7.380268483E-4				68	50.3088336
5043750	1.4185085	7.4174699E-6	-1.280093784E-4	-7.428093784E-4				69	51.066306
5044000	1.4385643	6.7762947E-6	-1.273330837E-4	-7.482330837E-4				70	51.7883148
5044250	1.4594728	6.368274E-6	-1.270648097E-4	-7.540648097E-4				71	52.5410208
5044500	1.4801889	7.6013034E-6	-1.255635063E-4	-7.586635063E-4				72	53.2868004
5044750	1.5008373	6.9152907E-6	-1.247482156E-4	-7.639482156E-4				73	54.0301428
5045000	1.5214375	7.2022503E-6	-1.236459654E-4	-7.689459654E-4				74	54.77175
5045250	1.5422333	7.7402994E-6	-1.220056659E-4	-7.734056659E-4				75	55.5203988
5045500	1.5631085	5.8840298E-6	-1.222216362E-4	-7.797216362E-4				76	56.271906
5045750	1.5841507	7.4264374E-6	-1.208951988E-4	-7.844951988E-4				77	57.0294252
5046000	1.6048971	6.5745262E-6	-1.204206726E-4	-7.901206726E-4				78	57.7762956
