Calibrated Field (T)	Sample Voltage (V)	Sample Current (A)	Acquisition Time (s)	
Teslas	Volts	Amps	Seconds	
0.0283758642	0.016151465	-0.010028168	0
0.0262666156333333	0.0162109926	-0.0100283724	0.2
0.02790141944	0.0163986604	-0.0100285609	0.4
0.0302496899857143	0.0165916942	-0.0100287264	0.6
0.0328535192888889	0.016765723	-0.0100288776	0.8
0.0356017732818182	0.0169587702	-0.0100290302	1
0.0384429741230769	0.017148789	-0.0100291637	1.2
0.0413403061733333	0.017346924	-0.0100292879	1.4
0.0442774827294118	0.0175549339	-0.0100294147	1.6
0.0472544684421053	0.0177548859	-0.0100295039	1.8
0.0502576347904762	0.0179620792	-0.0100296081	2
0.0532892783695652	0.0181674779	-0.0100296981	2.2
0.056348028044	0.0183761428	-0.0100297984	2.4
0.0594266188407407	0.0185721557	-0.0100298658	2.6
0.0625258577931034	0.0187762264	-0.0100299767	2.8
0.0656447894129032	0.0189762906	-0.0100300334	3
0.0687825628878788	0.0191758612	-0.0100301079	3.2
0.0719265871371428	0.0193705147	-0.0100301736	3.4
0.0750929924351351	0.0195586267	-0.0100302352	3.6
0.0782746399871795	0.0197474925	-0.0100302938	3.8
0.0814713123365853	0.0199414101	-0.0100303434	4
0.0846777463395349	0.0201286383	-0.0100304086	4.2
0.0878960760222222	0.0203157139	-0.0100304614	4.4
0.0908681850444444	0.0204997387	-0.0100305173	4.6
0.0939907239111111	0.0206792724	-0.0100305586	4.8
0.0971757083422222	0.0208534851	-0.0100306002	5
0.100363718686667	0.0210280299	-0.0100306424	5.2
0.103556896364444	0.0212069175	-0.0100306929	5.4
0.106764710155556	0.0213781916	-0.0100307337	5.6
0.109985716935556	0.0215482677	-0.0100307892	5.8
0.113216499744444	0.0217145975	-0.0100308083	6
0.116454274744444	0.0218831751	-0.0100308513	6.2
0.119702458888889	0.0220414336	-0.0100308912	6.4
0.122958836277778	0.022201074	-0.0100309338	6.6
0.126223211391111	0.022368005	-0.0100309484	6.8
0.12949575182	0.0225297092	-0.0100309843	7
0.132777202402222	0.022691225	-0.0100310167	7.2
0.136067321066667	0.0228489766	-0.0100310495	7.4
0.139363044653333	0.0230056558	-0.0100310788	7.6
0.142665499737778	0.0231537344	-0.0100311134	7.8
0.145977935684444	0.0233040472	-0.0100311409	8
0.149295771724444	0.0234580615	-0.0100311644	8.2
0.152621949977778	0.0236095184	-0.0100312065	8.4
0.155958909797778	0.023755928	-0.0100312203	8.6
0.159295162017778	0.0239001391	-0.01003125	8.8
0.162637289168889	0.0240440856	-0.0100312744	9
0.165988270611111	0.0241897638	-0.0100312983	9.2
0.169342771424444	0.0243347287	-0.010031329	9.4
0.172702849231111	0.0244800794	-0.0100313569	9.6
0.176068904382222	0.0246248694	-0.0100313627	9.8
0.179439056155556	0.0247660835	-0.0100313946	10
0.182811861422222	0.0249013395	-0.0100314141	10.2
0.186191509911111	0.0250397047	-0.0100314327	10.4
0.189575953311111	0.0251814841	-0.0100314571	10.6
0.192965024033333	0.0253174265	-0.0100314873	10.8
0.196356608591111	0.0254567653	-0.0100315019	11
0.199752057008889	0.0255930846	-0.0100315241	11.2
0.203153771397778	0.025730696	-0.0100315547	11.4
0.206556184075556	0.0258591908	-0.0100315671	11.6
