Calibrated Field (T)	Sample Voltage (V)	Sample Current (A)	Acquisition Time (s)
Teslas	Volts	Amps	Seconds
0.00582104236077	0.0061344955	0.0101500384	0
0.005931511510041	0.0061342218	0.0101496804	0.3333333333
0.0075259263467934	0.0061344192	0.0101479354	0.6666666667
0.00952027263556199	0.0061348096	0.0101498594	1
0.01173693784458	0.0061345942	0.0101493225	1.3333333
0.0140855849179429	0.0061356485	0.0101500384	1.6666667
0.016445869472196	0.0061357383	0.0101492777	2
0.0188424925401726	0.0061360075	0.0101504411	2.3333333
0.0212286426788991	0.0061353435	0.0101504858	2.6666667
0.0236061496993633	0.0061359312	0.010149054	3
0.026133779857536	0.0061382821	0.010149054	3.3333333
0.0286495387095518	0.0061456579	0.0101480696	3.6666667
0.0311370864166487	0.0061540477	0.0101499936	4
0.033637653071308	0.0061629534	0.0101491435	4.3333333
0.0361422316123225	0.0061755785	0.0101485618	4.6666667
0.0386594927053618	0.0061883605	0.0101482933	5
0.0412297513896486	0.0062036281	0.0101480249	5.3333333
0.0437668672857791	0.0062192501	0.0101487408	5.6666667
0.04633368211134	0.0062368417	0.0101478906	6
0.04890709531197	0.0062530604	0.0101489645	6.3333333
0.0514860595208576	0.0062740035	0.0101495015	6.6666667
0.0541617598300314	0.0062933313	0.0101487408	7
0.0568217129207988	0.0063148262	0.0101485171	7.3333333
0.0594602895092559	0.0063367024	0.0101476669	7.6666667
0.0621081868519949	0.0063598707	0.0101482486	8
0.0647609976832971	0.006383214	0.010148696	8.3333333
0.0674174226756243	0.0064086884	0.0101501279	8.6666667
0.0700959213311632	0.0064310312	0.0101478011	9
0.0727764335928261	0.0064586905	0.010149412	9.3333333
0.0755348017948607	0.0064838643	0.0101479354	9.6666667
0.0783211272789647	0.0065107968	0.0101482933	10
0.081107329765605	0.0065365404	0.0101493672	10.3333333
0.0838894500357408	0.0065654021	0.0101484723	10.6666667
0.086683999745648	0.0065946496	0.0101478459	11
0.089475895883322	0.0066220667	0.0101477564	11.3333333
0.0922647135817279	0.0066512469	0.0101482039	11.6666667
0.0950574898066742	0.0066808848	0.0101478011	12
0.0978469415507095	0.0067109174	0.0101475327	12.3333333
0.100628675981444	0.0067411116	0.0101482933	12.6666667
0.10341519586499	0.0067727864	0.0101506201	13
0.106195563921694	0.0068005579	0.010148875	13.3333333
0.10899831605587	0.0068364275	0.0101487855	13.6666667
0.111801357491426	0.0068657513	0.0101485618	14
0.11459466082275	0.0068975158	0.0101482933	14.3333333
0.117393961187856	0.0069294462	0.0101496804	14.6666667
0.120199631837068	0.006963925	0.0101484276	15
0.122868856696027	0.0069948146	0.0101476669	15.3333333
0.125577796502569	0.0070298318	0.010148696	15.6666667
0.128308914218858	0.0070613181	0.0101485171	16
0.131042992422411	0.0070970711	0.0101492777	16.3333333
0.13378179899686	0.0071323126	0.0101497699	16.6666667
0.136528054957038	0.0071670786	0.0101482039	17
0.139275236411794	0.0071996596	0.0101489198	17.3333333
0.142031639828643	0.007237261	0.0101489198	17.6666667
0.144789972301648	0.0072723858	0.0101482933	18
0.147551113397505	0.0073076274	0.0101490988	18.3333333
0.150313962596691	0.0073438828	0.010148875	18.6666667
0.153082322807491	0.007382404	0.0101478906	19
0.15585485894704	0.0074158509	0.0101491882	19.3333333
0.158642492008555	0.0074544079	0.0101498594	19.6666667
0.161433412403304	0.0074917177	0.0101487408	20
0.164227118266081	0.0075275739	0.0101486066	20.3333333
0.167055345641362	0.0075654445	0.0101474879	20.6666667
0.169889282038192	0.0076036605	0.0101484723	21
0.172728342752575	0.0076423881	0.0101484276	21.3333333
0.175559921870472	0.0076793838	0.0101497699	21.6666667
0.178394120768538	0.0077200316	0.010149233	22
0.181231022161832	0.0077562781	0.0101489645	22.3333333
0.18407525330561	0.0077999452	0.0101498594	22.6666667
0.1869243602567	0.0078372281	0.0101498147	23
0.189779701076538	0.0078782662	0.0101486066	23.3333333
0.192637928659581	0.0079164957	0.0101491882	23.6666667
0.195500695872592	0.0079600148	0.0101491882	24
0.198365129748273	0.0079977149	0.0101481144	24.3333333
0.201234471610482	0.008040247	0.0101495462	24.6666667
0.204103633944257	0.0080783509	0.0101501279	25
0.206976272423264	0.0081203267	0.0101494567	25.3333333
0.209846208274318	0.0081628229	0.0101491882	25.6666667
0.212724845855789	0.0082033226	0.0101494567	26
0.215605449423306	0.0082442081	0.0101486513	26.3333333
0.218495307155252	0.0082877766	0.010149233	26.6666667
0.221375174069731	0.0083307439	0.0101483381	27
0.22426151887826	0.0083714858	0.0101486513	27.3333333
0.227155188764664	0.0084145159	0.0101484276	27.6666667
0.230040345731081	0.0084571243	0.010149412	28
0.232926989764086	0.0085017157	0.0101485171	28.3333333
0.235814462640132	0.0085423051	0.0101491435	28.6666667
0.238685512610524	0.0085873093	0.0101497252	29
0.241557828713801	0.008627616	0.0101493672	29.3333333
0.244433777504468	0.0086747199	0.0101495909	29.6666667
0.247312631431805	0.0087166597	0.0101489645	30
0.250195702705146	0.0087623324	0.0101492777	30.3333333
0.253080758421914	0.0088051381	0.0101497252	30.6666667
0.255968571972374	0.0088507659	0.0101493225	31
0.258854631425544	0.0088928852	0.010149054	31.3333333
0.261743177082021	0.0089413216	0.0101505753	31.6666667
0.264628301848242	0.0089829474	0.0101496804	32
0.26751662647069	0.009029459	0.0101490093	32.3333333
0.270400733659507	0.0090727134	0.0101500831	32.6666667
0.273285066454349	0.0091210645	0.0101486066	33
0.276168602784739	0.0091638389	0.0101492777	33.3333333
0.27905389786519	0.0092109696	0.0101481591	33.6666667
0.281935615604705	0.0092549105	0.0101491435	34
0.28479577233367	0.0093004665	0.0101490093	34.3333333
0.287650988902598	0.0093469242	0.0101477564	34.6666667
0.290503885015876	0.009392063	0.0101498594	35
0.293352282902312	0.0094366095	0.0101486513	35.3333333
0.296200266374434	0.009485831	0.0101499042	35.6666667
0.299045915650089	0.0095318401	0.0101510228	36
0.301892398201492	0.0095751663	0.0101510228	36.3333333
0.304737379895682	0.0096236161	0.0101494567	36.6666667
