Calibrated Field (T)	Sample Voltage (V)	Sample Current (A)	Acquisition Time (s)
Teslas	Volts	Amps	Seconds
0.0253156871	0.0083345315	-0.0050106616	0
0.0242330615	0.0083748199	-0.0050106443	0.2
0.0263714985	0.0084314615	-0.0050106323	0.4
0.029763502	0.008484487	-0.005010631	0.6
0.0313417725	0.0085377323	-0.005010639	0.8
0.0339787871	0.0086042261	-0.0050106168	1
0.036872213	0.0086768575	-0.0050106243	1.2
0.0397074017	0.008751759	-0.0050106235	1.4
0.0426276419	0.0088310258	-0.0050106106	1.6
0.0457292973	0.0089113289	-0.0050106013	1.8
0.0487484151	0.0089920359	-0.0050106106	2
0.0517746554	0.0090759641	-0.0050106031	2.2
0.0547841368	0.009159677	-0.0050105946	2.4
0.0578857922	0.0092401417	-0.005010592	2.6
0.0608659455	0.0093265599	-0.0050105999	2.8
0.0638775217	0.0094104074	-0.0050105973	3
0.067135035	0.0094916483	-0.0050105937	3.2
0.0701776153	0.0095771916	-0.0050106013	3.4
0.0733370889	0.0096571942	-0.0050105893	3.6
0.0763616533	0.0097389241	-0.0050105906	3.8
0.0794792297	0.0098244675	-0.0050105924	4
0.0827325532	0.0099064396	-0.0050105795	4.2
0.0858777818	0.0099888469	-0.0050105844	4.4
0.0891537299	0.0100690918	-0.0050105835	4.6
0.09229016	0.0101525086	-0.0050105875	4.8
0.0955426456	0.0102316901	-0.0050105995	5
0.0987884276	0.0103099609	-0.0050105787	5.2
0.1020497117	0.0103912063	-0.0050105751	5.4
0.1052770589	0.0104703654	-0.0050105689	5.6
0.1085504931	0.010547869	-0.0050105871	5.8
0.1119211291	0.0106258437	-0.0050105787	6
0.1152054566	0.0107046215	-0.0050105804	6.2
0.1185082189	0.0107769792	-0.0050105711	6.4
0.121707076	0.0108527196	-0.0050105733	6.6
0.124906771	0.0109294246	-0.0050105804	6.8
0.1284114782	0.0110053311	-0.0050105685	7
0.1316723433	0.0110803672	-0.0050105698	7.2
0.135123422	0.011153474	-0.0050105849	7.4
0.1384169669	0.0112310988	-0.0050105782	7.6
0.1418345278	0.0113005851	-0.0050105738	7.8
0.1451276537	0.0113719468	-0.005010564	8
0.148430835	0.0114450537	-0.0050105702	8.2
0.1519267438	0.0115160878	-0.0050105702	8.4
0.1551959883	0.0115885935	-0.0050105738	8.6
0.1586893833	0.0116576088	-0.0050105574	8.8
