Calibrated Field (T)	Sample Voltage (V)	Sample Current (A)	Acquisition Time (s)
Teslas	Volts	Amps	Seconds
0.0282941645	0.0078906758	-0.0050157184	0
0.0271195045333333	0.0079339038	-0.0050155317	0.3333333333
0.03063588712	0.0081020239	-0.0050152966	0.6666666667
0.0348599466428571	0.0082548673	-0.0050150886	1
0.0395889255333333	0.0084245756	-0.0050149263	1.3333333
0.0444096473545455	0.0085961638	-0.0050147644	1.6666667
0.0493075825769231	0.0087710182	-0.0050146389	2
0.0543808335866667	0.0089505925	-0.0050145227	2.3333333
0.0594775929470588	0.0091195022	-0.005014422	2.6666667
0.0646153548263158	0.009292257	-0.0050143426	3
0.0698552256761905	0.009466896	-0.0050142504	3.3333333
0.0751079957	0.0096292016	-0.0050141958	3.6666667
0.080389774808	0.0097895779	-0.0050141382	4
0.0857496226703704	0.0099542209	-0.0050140814	4.3333333
0.0911205325068965	0.0101075354	-0.0050140242	4.6666667
0.0965089725032258	0.0102616844	-0.005013994	5
0.101914002572727	0.0104136798	-0.0050139461	5.3333333
0.107334322922857	0.0105591742	-0.0050139088	5.6666667
0.112814639435135	0.0107037983	-0.0050138751	6
0.118307262384615	0.0108487005	-0.0050138423	6.3333333
0.123811167456098	0.0109807621	-0.0050138188	6.6666667
0.129360548986047	0.0111196748	-0.0050137789	7
0.134914568704444	0.0112588836	-0.0050137603	7.3333333
0.140129653097778	0.0113894333	-0.0050137416	7.6666667
0.145537893246667	0.0115154471	-0.0050137168	8
0.151010590026667	0.0116478183	-0.0050137097	8.3333333
0.156495902542222	0.0117740924	-0.0050136782	8.6666667
0.161969465202222	0.0118926181	-0.0050136702	9
0.167499188831111	0.0120216873	-0.0050136591	9.3333333
0.173041276811111	0.012143062	-0.005013645	9.6666667
0.178558989886667	0.0122626286	-0.0050136206	10
0.184127342806667	0.0123818318	-0.0050136037	10.3333333
0.189706467982222	0.0124999358	-0.0050135988	10.6666667
0.195267921817778	0.0126165234	-0.0050135851	11
0.200868954613333	0.0127334654	-0.0050135696	11.3333333
0.206483496953333	0.0128449562	-0.0050135527	11.6666667
0.2120707502	0.0129590313	-0.0050135474	12
0.217698075864444	0.0130738332	-0.0050135452	12.3333333
0.223332263371111	0.0131837314	-0.0050135146	12.6666667
0.228939478342222	0.0132960836	-0.0050135057	13
0.234587249877778	0.0134050261	-0.0050134906	13.3333333
0.240234472093333	0.0135138205	-0.0050134835	13.6666667
0.245850513424444	0.0136225207	-0.0050134675	14
0.251505845088889	0.0137288341	-0.0050134627	14.3333333
0.257165962353333	0.0138351115	-0.0050134569	14.6666667
0.262787571366667	0.0139427933	-0.0050134423	15
0.268447716564444	0.0140512512	-0.0050134205	15.3333333
0.274104984815555	0.014149583	-0.0050134236	15.6666667
0.27972642624	0.0142547927	-0.0050134077	16
0.285379039237778	0.0143614335	-0.0050134028	16.3333333
0.291030488422222	0.0144626636	-0.005013385	16.6666667
0.296642414508889	0.0145612107	-0.0050133855	17
0.302285595964444	0.0146651059	-0.0050133731	17.3333333
0.307921934197778	0.0147657976	-0.0050133562	17.6666667
0.313553105102222	0.014867234	-0.0050133469	18
0.319180970775555	0.0149657991	-0.0050133411	18.3333333
0.324804348784444	0.0150636329	-0.0050133323	18.6666667
0.330414301044444	0.0151639881	-0.0050133296	19
0.33601551074	0.0152604714	-0.0050132999	19.3333333
0.341613750382222	0.0153571207	-0.0050132963	19.6666667
0.347201543637778	0.0154527606	-0.0050132795	20
0.352773136611111	0.0155529004	-0.0050132782	20.3333333
0.358335996331111	0.0156452786	-0.0050132702	20.6666667
0.363893167333333	0.015740057	-0.0050132631	21
0.369437666737778	0.0158360513	-0.0050132564	21.3333333
0.374967371746667	0.0159276039	-0.0050132462	21.6666667
0.380488194533333	0.0160217497	-0.0050132316	22
0.38599648538	0.0161142579	-0.0050132307	22.3333333
0.391485652444444	0.0162060348	-0.0050132201	22.6666667
0.396973283277778	0.0162996154	-0.0050132218	23
0.402443373117778	0.0163944521	-0.0050132045	23.3333333
0.407903444853333	0.0164802215	-0.0050132068	23.6666667
0.413347521137778	0.016570998	-0.0050131877	24
0.418774130913333	0.016662896	-0.0050131824	24.3333333
0.424186877346666	0.0167460139	-0.0050131713	24.6666667
0.429588469793333	0.0168366198	-0.0050131686	25
0.434968517728889	0.0169265214	-0.0050131611	25.3333333
0.440335084053333	0.017012551	-0.0050131478	25.6666667
0.445684081451111	0.0170986525	-0.005013138	26
0.451022036588889	0.017188406	-0.0050131384	26.3333333
0.456343176953333	0.0172750951	-0.005013126	26.6666667
0.461646971844444	0.0173626323	-0.0050131083	27
0.466934585077778	0.0174465173	-0.0050131096	27.3333333
0.472209135671111	0.017530721	-0.0050131043	27.6666667
0.477462961077778	0.017615122	-0.0050130897	28
0.482697532357778	0.0176978585	-0.0050130905	28.3333333
0.487923416935555	0.0177778538	-0.0050130857	28.6666667
0.493134274357778	0.0178596885	-0.0050130586	29
0.498323736237778	0.0179428647	-0.0050130595	29.3333333
0.503496029544444	0.0180219088	-0.0050130551	29.6666667
0.508666367644444	0.0181047709	-0.0050130595	30
0.513817079197778	0.0181876869	-0.005013024	30.3333333
0.518948024546667	0.018267718	-0.0050130249	30.6666667
0.524068327986667	0.0183515896	-0.0050130027	31
0.529173995313333	0.0184321098	-0.0050130174	31.3333333
0.534262764071111	0.0185106873	-0.0050129987	31.6666667
0.539335034611111	0.0185914228	-0.0050129943	32
0.544389335875555	0.0186720596	-0.0050129752	32.3333333
0.549429019644444	0.0187449123	-0.0050129792	32.6666667
0.554449700671111	0.0188234404	-0.0050129748	33
0.559453166573333	0.0188997926	-0.0050129588	33.3333333
0.564438607335555	0.0189714877	-0.005012961	33.6666667
0.569410976146666	0.0190438603	-0.0050129371	34
0.574361586306666	0.01912019	-0.0050129468	34.3333333
0.579295502728889	0.0191910506	-0.0050129264	34.6666667
0.584214103368889	0.0192619471	-0.0050129109	35
0.589083321086667	0.0193381647	-0.0050129278	35.3333333
0.593966876982222	0.0194109814	-0.0050129029	35.6666667
0.598830573568889	0.019486535	-0.0050128941	36
0.603642513051111	0.0195585217	-0.0050128954	36.3333333
0.608472319395555	0.0196330523	-0.0050128808	36.6666667
