Calibrated Field (T)	Sample Voltage (V)	Sample Current (A)	Acquisition Time (s)
Teslas	Volts	Amps	Seconds
	132.8K		
0.0290554381	0.0034907877	0.0100617726	0
0.0237516618	0.003830365	0.0100619964	0.2
0.0251996317	0.0048949397	0.010060833	0.4
0.0301963009	0.0058995436	0.0100602066	0.6
0.0348837682	0.0067550348	0.010061191	0.8
0.0391350849	0.0076582308	0.0100610567	1
0.0435041329	0.008599647	0.0100616832	1.2
0.0482376873	0.0094882081	0.0100614147	1.4
0.0527663639	0.0103657235	0.010061012	1.6
0.0572845663	0.0112572187	0.0100611462	1.8
0.0619758043	0.012146188	0.0100600723	2
0.0666745839	0.0130181895	0.0100614147	2.2
0.0712786757	0.0138896032	0.0100603856	2.4
0.0759787122	0.0147726234	0.0100610567	2.6
0.0808203615	0.0156798483	0.0100617279	2.8
0.0857600504	0.0165491758	0.0100600723	3
0.0904739131	0.017412146	0.0100615489	3.2
0.0953574596	0.0182828104	0.0100610567	3.4
0.1001400338	0.0191545741	0.0100612357	3.6
0.1051295805	0.0200226858	0.010061191	3.8
0.1099863128	0.020894113	0.010061012	4
0.1148899701	0.0217895877	0.0100608777	4.2
0.1199184813	0.0226627691	0.0100617279	4.4
0.1248657117	0.0235219751	0.0100610567	4.6
0.1297911556	0.0243998853	0.0100601171	4.8
0.1348318169	0.0252727123	0.0100604303	5
0.1398687076	0.026154575	0.0100598039	5.2
0.1449030843	0.027028039	0.0100611462	5.4
0.1498381646	0.0278964289	0.010060833	5.6
0.1548905572	0.0288019982	0.0100599829	5.8
0.16015495	0.0296804378	0.0100613252	6
0.1652446312	0.0305424074	0.0100615489	6.2
0.1702383676	0.03141868	0.0100606988	6.4
0.1753515113	0.0322993718	0.0100615489	6.6
0.1804525047	0.0331749535	0.0100620411	6.8
0.1856314271	0.0340600644	0.010060654	7
0.1907529502	0.0349691691	0.0100605198	7.2
0.1961158017	0.0358448943	0.0100615042	7.4
0.2012276884	0.0367025435	0.0100621306	7.6
0.2062130454	0.0375753122	0.010060654	7.8
0.2114225528	0.0384451018	0.0100603856	8
0.2166701867	0.0393178525	0.0100616384	8.2
0.2218646111	0.0402010298	0.0100600723	8.4
0.2270343161	0.0411041674	0.0100614147	8.6
0.2324440924	0.0419700089	0.0100616832	8.8
0.2376837659	0.0428189633	0.0100602513	9
0.2427671625	0.0436839838	0.0100611015	9.2
0.247959911	0.0445484794	0.0100612357	9.4
0.2531861773	0.0454062183	0.0100601171	9.6
0.2583671945	0.0462577256	0.0100613699	9.8
0.2635402513	0.0471262904	0.0100609672	10
0.2687723832	0.0480041646	0.0100603408	10.2
0.2741683335	0.0488419971	0.0100603408	10.4
0.2793543784	0.0496729517	0.010061191	10.6
0.2843129211	0.0505122736	0.0100605645	10.8
0.2895115352	0.0513470059	0.0100601171	11
0.2946778884	0.0521969069	0.0100599829	11.2
0.2997135221	0.0530183143	0.0100601171	11.4
0.3049255434	0.0538801001	0.0100606093	11.6
0.3103206557	0.0547044417	0.0100615937	11.8
0.3154342183	0.0555194558	0.0100609672	12
0.3205461051	0.0563425591	0.0100610567	12.2
